beta,omega,steady_time
0.030612244897959183,1.7857142857142858,67.44
0.030612244897959183,1.8775510204081634,47.44
0.030612244897959183,1.969387755102041,57.88
0.030612244897959183,2.0612244897959187,43.1
0.030612244897959183,2.1530612244897958,36.83
0.030612244897959183,2.2448979591836737,38.730000000000004
0.030612244897959183,2.336734693877551,32.230000000000004
0.030612244897959183,2.428571428571429,44.85
0.030612244897959183,2.5204081632653064,104.62
0.030612244897959183,2.612244897959184,99.53
0.030612244897959183,2.7040816326530615,118.57000000000001
0.030612244897959183,2.795918367346939,98.75
0.030612244897959183,2.8877551020408165,31.76
0.030612244897959183,2.979591836734694,46.94
0.030612244897959183,3.0714285714285716,38.37
0.030612244897959183,3.163265306122449,40.57
0.030612244897959183,3.2551020408163267,41.14
0.030612244897959183,3.3469387755102042,40.87
0.030612244897959183,3.438775510204082,41.19
0.030612244897959183,3.5306122448979593,41.45
0.030612244897959183,3.622448979591837,41.17
0.030612244897959183,3.7142857142857144,41.06
0.030612244897959183,3.806122448979592,40.77
0.030612244897959183,3.8979591836734695,38.78
0.030612244897959183,3.989795918367347,38.79
0.030612244897959183,4.081632653061225,40.99
0.030612244897959183,4.173469387755102,41.09
0.030612244897959183,4.26530612244898,38.97
0.030612244897959183,4.357142857142858,38.99
0.030612244897959183,4.448979591836735,38.94
0.030612244897959183,4.540816326530613,38.93
0.030612244897959183,4.63265306122449,38.910000000000004
0.030612244897959183,4.724489795918368,38.910000000000004
0.030612244897959183,4.816326530612245,38.92
0.030612244897959183,4.908163265306123,38.96
0.030612244897959183,5.0,38.99
0.061224489795918366,0.5,86.38
0.061224489795918366,0.5918367346938775,149.99
0.061224489795918366,0.6836734693877551,70.57000000000001
0.061224489795918366,0.7755102040816326,75.32000000000001
0.061224489795918366,0.8673469387755102,55.94
0.061224489795918366,0.9591836734693877,67.98
0.061224489795918366,1.0510204081632653,63.910000000000004
0.061224489795918366,1.1428571428571428,55.730000000000004
0.061224489795918366,1.2346938775510203,106.72
0.061224489795918366,1.3265306122448979,149.99
0.061224489795918366,1.4183673469387754,149.99
0.061224489795918366,1.5102040816326532,149.99
0.061224489795918366,1.6020408163265307,149.99
0.061224489795918366,1.6938775510204083,149.99
0.061224489795918366,1.7857142857142858,149.99
0.061224489795918366,1.8775510204081634,149.99
0.061224489795918366,1.969387755102041,149.99
0.061224489795918366,2.0612244897959187,149.99
0.061224489795918366,2.1530612244897958,134.76
0.061224489795918366,2.2448979591836737,60.27
0.061224489795918366,2.336734693877551,49.050000000000004
0.061224489795918366,2.428571428571429,43.480000000000004
0.061224489795918366,2.5204081632653064,149.99
0.061224489795918366,2.612244897959184,149.99
0.061224489795918366,2.7040816326530615,149.99
0.061224489795918366,2.795918367346939,149.99
0.061224489795918366,2.8877551020408165,149.99
0.061224489795918366,2.979591836734694,54.39
0.061224489795918366,3.0714285714285716,37.54
0.061224489795918366,3.163265306122449,38.11
0.061224489795918366,3.2551020408163267,35.67
0.061224489795918366,3.3469387755102042,37.85
0.061224489795918366,3.438775510204082,35.94
0.061224489795918366,3.5306122448979593,36.47
0.061224489795918366,3.622448979591837,38.64
0.061224489795918366,3.7142857142857144,38.61
0.061224489795918366,3.806122448979592,38.54
0.061224489795918366,3.8979591836734695,36.28
0.061224489795918366,3.989795918367347,35.99
0.061224489795918366,4.081632653061225,33.980000000000004
0.061224489795918366,4.173469387755102,36.22
0.061224489795918366,4.26530612244898,36.230000000000004
0.061224489795918366,4.357142857142858,36.22
0.061224489795918366,4.448979591836735,36.25
0.061224489795918366,4.540816326530613,36.26
0.061224489795918366,4.63265306122449,36.24
0.061224489795918366,4.724489795918368,34.19
0.061224489795918366,4.816326530612245,34.18
0.061224489795918366,4.908163265306123,34.160000000000004
0.061224489795918366,5.0,34.19
0.09183673469387754,0.5,149.99
0.09183673469387754,0.5918367346938775,36.09
0.09183673469387754,0.6836734693877551,149.99
0.09183673469387754,0.7755102040816326,149.99
0.09183673469387754,0.8673469387755102,52.160000000000004
0.09183673469387754,0.9591836734693877,60.94
0.09183673469387754,1.0510204081632653,64.49
0.09183673469387754,1.1428571428571428,60.33
0.09183673469387754,1.2346938775510203,52.300000000000004
0.09183673469387754,1.3265306122448979,107.24000000000001
0.09183673469387754,1.4183673469387754,149.99
0.09183673469387754,1.5102040816326532,149.99
0.09183673469387754,1.6020408163265307,149.99
0.09183673469387754,1.6938775510204083,149.99
0.09183673469387754,1.7857142857142858,149.99
0.09183673469387754,1.8775510204081634,149.99
0.09183673469387754,1.969387755102041,149.99
0.09183673469387754,2.0612244897959187,149.99
0.09183673469387754,2.1530612244897958,149.99
0.09183673469387754,2.2448979591836737,149.99
0.09183673469387754,2.336734693877551,149.99
0.09183673469387754,2.428571428571429,149.99
0.09183673469387754,2.5204081632653064,149.99
0.09183673469387754,2.612244897959184,149.99
0.09183673469387754,2.7040816326530615,149.99
0.09183673469387754,2.795918367346939,149.99
0.09183673469387754,2.8877551020408165,149.99
0.09183673469387754,2.979591836734694,52.14
0.09183673469387754,3.0714285714285716,35.65
0.09183673469387754,3.163265306122449,37.88
0.09183673469387754,3.2551020408163267,35.34
0.09183673469387754,3.3469387755102042,31.43
0.09183673469387754,3.438775510204082,33.660000000000004
0.09183673469387754,3.5306122448979593,31.63
0.09183673469387754,3.622448979591837,33.93
0.09183673469387754,3.7142857142857144,36.21
0.09183673469387754,3.806122448979592,36.37
0.09183673469387754,3.8979591836734695,36.13
0.09183673469387754,3.989795918367347,33.910000000000004
0.09183673469387754,4.081632653061225,33.5
0.09183673469387754,4.173469387755102,31.560000000000002
0.09183673469387754,4.26530612244898,33.78
0.09183673469387754,4.357142857142858,33.75
0.09183673469387754,4.448979591836735,33.8
0.09183673469387754,4.540816326530613,33.84
0.09183673469387754,4.63265306122449,33.88
0.09183673469387754,4.724489795918368,33.85
0.09183673469387754,4.816326530612245,31.76
0.09183673469387754,4.908163265306123,31.720000000000002
0.09183673469387754,5.0,31.720000000000002
0.12244897959183673,0.5,149.99
0.12244897959183673,0.5918367346938775,113.32000000000001
0.12244897959183673,0.6836734693877551,149.99
0.12244897959183673,0.7755102040816326,33.49
0.12244897959183673,0.8673469387755102,90.06
0.12244897959183673,0.9591836734693877,62.14
0.12244897959183673,1.0510204081632653,59.53
0.12244897959183673,1.1428571428571428,52.5
0.12244897959183673,1.2346938775510203,60.1
0.12244897959183673,1.3265306122448979,56.86
0.12244897959183673,1.4183673469387754,68.57000000000001
0.12244897959183673,1.5102040816326532,149.99
0.12244897959183673,1.6020408163265307,107.72
0.12244897959183673,1.6938775510204083,149.99
