delta,alpha,steady_time
0.1020408163265306,1.3367346938775508,69.87
0.1020408163265306,1.3775510204081631,69.81
0.1020408163265306,1.4183673469387754,69.75
0.1020408163265306,1.4591836734693877,69.69
0.1020408163265306,1.5,69.63
0.11224489795918366,-0.5,77.56
0.11224489795918366,-0.45918367346938777,79.29
0.11224489795918366,-0.41836734693877553,82.75
0.11224489795918366,-0.37755102040816324,126.43
0.11224489795918366,-0.33673469387755106,55.22
0.11224489795918366,-0.29591836734693877,125.52
0.11224489795918366,-0.25510204081632654,149.99
0.11224489795918366,-0.2142857142857143,149.99
0.11224489795918366,-0.17346938775510207,101.35000000000001
0.11224489795918366,-0.13265306122448983,123.07000000000001
0.11224489795918366,-0.0918367346938776,131.08
0.11224489795918366,-0.05102040816326536,67.26
0.11224489795918366,-0.010204081632653073,53.980000000000004
0.11224489795918366,0.030612244897959107,39.39
0.11224489795918366,0.0714285714285714,47.050000000000004
0.11224489795918366,0.11224489795918358,42.2
0.11224489795918366,0.15306122448979587,54.34
0.11224489795918366,0.19387755102040816,41.57
0.11224489795918366,0.23469387755102034,45.78
0.11224489795918366,0.2755102040816326,46.94
0.11224489795918366,0.3163265306122448,50.0
0.11224489795918366,0.3571428571428571,47.74
0.11224489795918366,0.3979591836734693,9.68
0.11224489795918366,0.43877551020408156,71.32000000000001
0.11224489795918366,0.47959183673469385,69.81
0.11224489795918366,0.5204081632653061,68.8
0.11224489795918366,0.5612244897959182,68.27
0.11224489795918366,0.6020408163265305,68.08
0.11224489795918366,0.6428571428571428,67.4
0.11224489795918366,0.6836734693877551,66.97
0.11224489795918366,0.7244897959183672,66.73
0.11224489795918366,0.7653061224489794,66.61
0.11224489795918366,0.8061224489795917,66.51
0.11224489795918366,0.846938775510204,66.39
0.11224489795918366,0.8877551020408163,66.23
0.11224489795918366,0.9285714285714284,65.68
0.11224489795918366,0.9693877551020407,65.5
0.11224489795918366,1.010204081632653,65.35
0.11224489795918366,1.0510204081632653,65.22
0.11224489795918366,1.0918367346938773,65.12
0.11224489795918366,1.1326530612244896,65.03
0.11224489795918366,1.173469387755102,64.96000000000001
0.11224489795918366,1.2142857142857142,64.9
0.11224489795918366,1.2551020408163265,64.83
0.11224489795918366,1.2959183673469385,64.77
0.11224489795918366,1.3367346938775508,64.68
0.11224489795918366,1.3775510204081631,64.24
0.11224489795918366,1.4183673469387754,64.15
0.11224489795918366,1.4591836734693877,64.07000000000001
0.11224489795918366,1.5,60.120000000000005
0.12244897959183673,-0.5,149.99
0.12244897959183673,-0.45918367346938777,72.95
0.12244897959183673,-0.41836734693877553,87.73
0.12244897959183673,-0.37755102040816324,30.41
0.12244897959183673,-0.33673469387755106,105.04
0.12244897959183673,-0.29591836734693877,149.99
0.12244897959183673,-0.25510204081632654,19.86
0.12244897959183673,-0.2142857142857143,149.99
0.12244897959183673,-0.17346938775510207,128.43
0.12244897959183673,-0.13265306122448983,69.84
0.12244897959183673,-0.0918367346938776,52.71
0.12244897959183673,-0.05102040816326536,79.53
0.12244897959183673,-0.010204081632653073,50.18
0.12244897959183673,0.030612244897959107,36.67
0.12244897959183673,0.0714285714285714,34.92
0.12244897959183673,0.11224489795918358,48.7
0.12244897959183673,0.15306122448979587,44.480000000000004
0.12244897959183673,0.19387755102040816,38.050000000000004
0.12244897959183673,0.23469387755102034,39.45
0.12244897959183673,0.2755102040816326,46.410000000000004
0.12244897959183673,0.3163265306122448,42.300000000000004
0.12244897959183673,0.3571428571428571,43.22
0.12244897959183673,0.3979591836734693,45.15
0.12244897959183673,0.43877551020408156,67.05
0.12244897959183673,0.47959183673469385,65.2
0.12244897959183673,0.5204081632653061,64.62
0.12244897959183673,0.5612244897959182,63.54
0.12244897959183673,0.6020408163265305,63.29
0.12244897959183673,0.6428571428571428,62.620000000000005
0.12244897959183673,0.6836734693877551,62.22
0.12244897959183673,0.7244897959183672,61.95
0.12244897959183673,0.7653061224489794,61.79
0.12244897959183673,0.8061224489795917,61.68
0.12244897959183673,0.846938775510204,61.550000000000004
0.12244897959183673,0.8877551020408163,61.01
