alpha,omega,steady_time
-0.13265306122448983,0.8673469387755102,30.62
-0.13265306122448983,0.9591836734693877,37.07
-0.13265306122448983,1.0510204081632653,38.42
-0.13265306122448983,1.1428571428571428,35.730000000000004
-0.13265306122448983,1.2346938775510203,50.04
-0.13265306122448983,1.3265306122448979,37.22
-0.13265306122448983,1.4183673469387754,43.65
-0.13265306122448983,1.5102040816326532,40.13
-0.13265306122448983,1.6020408163265307,39.89
-0.13265306122448983,1.6938775510204083,41.65
-0.13265306122448983,1.7857142857142858,44.79
-0.13265306122448983,1.8775510204081634,28.63
-0.13265306122448983,1.969387755102041,32.02
-0.13265306122448983,2.0612244897959187,25.740000000000002
-0.13265306122448983,2.1530612244897958,149.99
-0.13265306122448983,2.2448979591836737,149.99
-0.13265306122448983,2.336734693877551,18.400000000000002
-0.13265306122448983,2.428571428571429,13.99
-0.13265306122448983,2.5204081632653064,8.040000000000001
-0.13265306122448983,2.612244897959184,8.370000000000001
-0.13265306122448983,2.7040816326530615,8.34
-0.13265306122448983,2.795918367346939,7.7
-0.13265306122448983,2.8877551020408165,6.25
-0.13265306122448983,2.979591836734694,4.66
-0.13265306122448983,3.0714285714285716,4.09
-0.13265306122448983,3.163265306122449,3.97
-0.13265306122448983,3.2551020408163267,3.85
-0.13265306122448983,3.3469387755102042,3.75
-0.13265306122448983,3.438775510204082,3.65
-0.13265306122448983,3.5306122448979593,3.5500000000000003
-0.13265306122448983,3.622448979591837,3.45
-0.13265306122448983,3.7142857142857144,3.37
-0.13265306122448983,3.806122448979592,3.29
-0.13265306122448983,3.8979591836734695,3.21
-0.13265306122448983,3.989795918367347,3.13
-0.13265306122448983,4.081632653061225,3.0700000000000003
-0.13265306122448983,4.173469387755102,3.0100000000000002
-0.13265306122448983,4.26530612244898,2.93
-0.13265306122448983,4.357142857142858,2.87
-0.13265306122448983,4.448979591836735,2.81
-0.13265306122448983,4.540816326530613,2.75
-0.13265306122448983,4.63265306122449,2.71
-0.13265306122448983,4.724489795918368,2.65
-0.13265306122448983,4.816326530612245,2.59
-0.13265306122448983,4.908163265306123,2.5500000000000003
-0.13265306122448983,5.0,2.5100000000000002
-0.0918367346938776,0.5,57.51
-0.0918367346938776,0.5918367346938775,35.63
-0.0918367346938776,0.6836734693877551,149.99
-0.0918367346938776,0.7755102040816326,27.68
-0.0918367346938776,0.8673469387755102,30.560000000000002
-0.0918367346938776,0.9591836734693877,37.2
-0.0918367346938776,1.0510204081632653,38.61
-0.0918367346938776,1.1428571428571428,34.06
-0.0918367346938776,1.2346938775510203,50.17
-0.0918367346938776,1.3265306122448979,37.14
-0.0918367346938776,1.4183673469387754,43.45
-0.0918367346938776,1.5102040816326532,39.94
-0.0918367346938776,1.6020408163265307,39.86
-0.0918367346938776,1.6938775510204083,41.53
-0.0918367346938776,1.7857142857142858,44.6
-0.0918367346938776,1.8775510204081634,30.63
-0.0918367346938776,1.969387755102041,30.79
-0.0918367346938776,2.0612244897959187,14.97
-0.0918367346938776,2.1530612244897958,149.99
-0.0918367346938776,2.2448979591836737,149.99
-0.0918367346938776,2.336734693877551,17.07
-0.0918367346938776,2.428571428571429,13.13
-0.0918367346938776,2.5204081632653064,7.79
-0.0918367346938776,2.612244897959184,7.88
-0.0918367346938776,2.7040816326530615,8.0
-0.0918367346938776,2.795918367346939,7.91
-0.0918367346938776,2.8877551020408165,7.45
-0.0918367346938776,2.979591836734694,6.46
-0.0918367346938776,3.0714285714285716,5.09
-0.0918367346938776,3.163265306122449,3.97
-0.0918367346938776,3.2551020408163267,3.85
-0.0918367346938776,3.3469387755102042,3.75
-0.0918367346938776,3.438775510204082,3.65
-0.0918367346938776,3.5306122448979593,3.5500000000000003
-0.0918367346938776,3.622448979591837,3.45
-0.0918367346938776,3.7142857142857144,3.37
-0.0918367346938776,3.806122448979592,3.29
-0.0918367346938776,3.8979591836734695,3.21
-0.0918367346938776,3.989795918367347,3.13
-0.0918367346938776,4.081632653061225,3.0700000000000003
-0.0918367346938776,4.173469387755102,3.0100000000000002
-0.0918367346938776,4.26530612244898,2.93
-0.0918367346938776,4.357142857142858,2.87
-0.0918367346938776,4.448979591836735,2.81
-0.0918367346938776,4.540816326530613,2.75
-0.0918367346938776,4.63265306122449,2.71
-0.0918367346938776,4.724489795918368,2.65
-0.0918367346938776,4.816326530612245,2.59
-0.0918367346938776,4.908163265306123,2.5500000000000003
-0.0918367346938776,5.0,2.5100000000000002
-0.05102040816326536,0.5,56.370000000000005
-0.05102040816326536,0.5918367346938775,36.410000000000004
-0.05102040816326536,0.6836734693877551,76.7
-0.05102040816326536,0.7755102040816326,28.16
-0.05102040816326536,0.8673469387755102,30.47
-0.05102040816326536,0.9591836734693877,37.2
-0.05102040816326536,1.0510204081632653,39.11
-0.05102040816326536,1.1428571428571428,33.87
-0.05102040816326536,1.2346938775510203,50.21
-0.05102040816326536,1.3265306122448979,37.050000000000004
-0.05102040816326536,1.4183673469387754,43.27
-0.05102040816326536,1.5102040816326532,39.5
-0.05102040816326536,1.6020408163265307,39.85
-0.05102040816326536,1.6938775510204083,41.45
-0.05102040816326536,1.7857142857142858,44.37
-0.05102040816326536,1.8775510204081634,26.79
-0.05102040816326536,1.969387755102041,27.23
-0.05102040816326536,2.0612244897959187,26.82
-0.05102040816326536,2.1530612244897958,149.99
-0.05102040816326536,2.2448979591836737,149.99
-0.05102040816326536,2.336734693877551,21.05
-0.05102040816326536,2.428571428571429,12.41
-0.05102040816326536,2.5204081632653064,13.17
-0.05102040816326536,2.612244897959184,7.53
-0.05102040816326536,2.7040816326530615,7.6000000000000005
-0.05102040816326536,2.795918367346939,7.640000000000001
-0.05102040816326536,2.8877551020408165,7.51
-0.05102040816326536,2.979591836734694,7.15
-0.05102040816326536,3.0714285714285716,6.5200000000000005
-0.05102040816326536,3.163265306122449,5.49
-0.05102040816326536,3.2551020408163267,3.85
-0.05102040816326536,3.3469387755102042,3.75
-0.05102040816326536,3.438775510204082,3.65
-0.05102040816326536,3.5306122448979593,3.5500000000000003
-0.05102040816326536,3.622448979591837,3.45
-0.05102040816326536,3.7142857142857144,3.37
-0.05102040816326536,3.806122448979592,3.29
-0.05102040816326536,3.8979591836734695,3.21
-0.05102040816326536,3.989795918367347,3.13
-0.05102040816326536,4.081632653061225,3.0700000000000003
-0.05102040816326536,4.173469387755102,3.0100000000000002
-0.05102040816326536,4.26530612244898,2.93
-0.05102040816326536,4.357142857142858,2.87
-0.05102040816326536,4.448979591836735,2.81
-0.05102040816326536,4.540816326530613,2.75
-0.05102040816326536,4.63265306122449,2.71
-0.05102040816326536,4.724489795918368,2.65
-0.05102040816326536,4.816326530612245,2.59
-0.05102040816326536,4.908163265306123,2.5500000000000003
-0.05102040816326536,5.0,2.5100000000000002
-0.010204081632653073,0.5,55.27
-0.010204081632653073,0.5918367346938775,36.68
-0.010204081632653073,0.6836734693877551,75.08
-0.010204081632653073,0.7755102040816326,28.46
-0.010204081632653073,0.8673469387755102,30.28
-0.010204081632653073,0.9591836734693877,37.13
-0.010204081632653073,1.0510204081632653,39.28
-0.010204081632653073,1.1428571428571428,33.72
-0.010204081632653073,1.2346938775510203,50.2
-0.010204081632653073,1.3265306122448979,36.97
-0.010204081632653073,1.4183673469387754,43.11
-0.010204081632653073,1.5102040816326532,39.28
-0.010204081632653073,1.6020408163265307,39.84
