delta,gamma,steady_time
0.1653061224489796,3.1734693877551017,48.150000000000006
0.1653061224489796,3.2142857142857144,47.95
0.1653061224489796,3.2551020408163263,47.7
0.1653061224489796,3.2959183673469385,47.45
0.1653061224489796,3.336734693877551,46.85
0.1653061224489796,3.377551020408163,46.6
0.1653061224489796,3.4183673469387754,46.35
0.1653061224489796,3.4591836734693877,46.2
0.1653061224489796,3.5,46.0
0.17346938775510207,1.5,26.25
0.17346938775510207,1.5408163265306123,26.25
0.17346938775510207,1.5816326530612246,26.05
0.17346938775510207,1.6224489795918366,25.700000000000003
0.17346938775510207,1.663265306122449,27.55
0.17346938775510207,1.7040816326530612,25.3
0.17346938775510207,1.7448979591836735,26.75
0.17346938775510207,1.7857142857142856,26.75
0.17346938775510207,1.8265306122448979,26.55
0.17346938775510207,1.8673469387755102,28.1
0.17346938775510207,1.9081632653061225,29.5
0.17346938775510207,1.9489795918367347,30.85
0.17346938775510207,1.989795918367347,9.700000000000001
0.17346938775510207,2.0306122448979593,56.5
0.17346938775510207,2.071428571428571,54.5
0.17346938775510207,2.1122448979591835,52.95
0.17346938775510207,2.1530612244897958,51.650000000000006
0.17346938775510207,2.193877551020408,50.95
0.17346938775510207,2.2346938775510203,49.900000000000006
0.17346938775510207,2.2755102040816326,49.300000000000004
0.17346938775510207,2.316326530612245,48.400000000000006
0.17346938775510207,2.357142857142857,47.900000000000006
0.17346938775510207,2.3979591836734695,47.1
0.17346938775510207,2.4387755102040813,46.650000000000006
0.17346938775510207,2.479591836734694,46.25
0.17346938775510207,2.520408163265306,45.85
0.17346938775510207,2.561224489795918,45.150000000000006
0.17346938775510207,2.6020408163265305,44.800000000000004
0.17346938775510207,2.642857142857143,44.5
0.17346938775510207,2.683673469387755,43.900000000000006
0.17346938775510207,2.724489795918367,43.550000000000004
0.17346938775510207,2.7653061224489797,43.25
0.17346938775510207,2.8061224489795915,43.050000000000004
0.17346938775510207,2.8469387755102042,42.800000000000004
0.17346938775510207,2.887755102040816,42.2
0.17346938775510207,2.9285714285714284,41.900000000000006
0.17346938775510207,2.9693877551020407,49.550000000000004
0.17346938775510207,3.010204081632653,49.25
0.17346938775510207,3.0510204081632653,48.650000000000006
0.17346938775510207,3.091836734693877,48.45
0.17346938775510207,3.13265306122449,48.2
0.17346938775510207,3.1734693877551017,48.0
0.17346938775510207,3.2142857142857144,47.75
0.17346938775510207,3.2551020408163263,47.45
0.17346938775510207,3.2959183673469385,46.900000000000006
0.17346938775510207,3.336734693877551,46.650000000000006
0.17346938775510207,3.377551020408163,46.400000000000006
0.17346938775510207,3.4183673469387754,46.2
0.17346938775510207,3.4591836734693877,45.95
0.17346938775510207,3.5,45.45
0.1816326530612245,1.5,23.75
0.1816326530612245,1.5408163265306123,23.75
0.1816326530612245,1.5816326530612246,23.75
0.1816326530612245,1.6224489795918366,23.650000000000002
0.1816326530612245,1.663265306122449,25.1
0.1816326530612245,1.7040816326530612,25.1
0.1816326530612245,1.7448979591836735,25.0
0.1816326530612245,1.7857142857142856,26.450000000000003
0.1816326530612245,1.8265306122448979,26.450000000000003
0.1816326530612245,1.8673469387755102,27.85
0.1816326530612245,1.9081632653061225,27.650000000000002
0.1816326530612245,1.9489795918367347,30.700000000000003
0.1816326530612245,1.989795918367347,9.75
0.1816326530612245,2.0306122448979593,47.95
0.1816326530612245,2.071428571428571,48.400000000000006
0.1816326530612245,2.1122448979591835,52.85
0.1816326530612245,2.1530612244897958,51.550000000000004
0.1816326530612245,2.193877551020408,50.75
0.1816326530612245,2.2346938775510203,49.85
0.1816326530612245,2.2755102040816326,49.2
0.1816326530612245,2.316326530612245,48.35
0.1816326530612245,2.357142857142857,47.85
