gamma,omega,steady_time
1.7857142857142856,0.8673469387755102,149.99
1.7857142857142856,0.9591836734693877,149.99
1.7857142857142856,1.0510204081632653,72.88
1.7857142857142856,1.1428571428571428,36.56
1.7857142857142856,1.2346938775510203,54.02
1.7857142857142856,1.3265306122448979,45.61
1.7857142857142856,1.4183673469387754,43.53
1.7857142857142856,1.5102040816326532,54.04
1.7857142857142856,1.6020408163265307,41.74
1.7857142857142856,1.6938775510204083,59.2
1.7857142857142856,1.7857142857142858,64.2
1.7857142857142856,1.8775510204081634,111.57000000000001
1.7857142857142856,1.969387755102041,149.99
1.7857142857142856,2.0612244897959187,38.35
1.7857142857142856,2.1530612244897958,149.99
1.7857142857142856,2.2448979591836737,149.99
1.7857142857142856,2.336734693877551,149.99
1.7857142857142856,2.428571428571429,149.99
1.7857142857142856,2.5204081632653064,149.99
1.7857142857142856,2.612244897959184,149.99
1.7857142857142856,2.7040816326530615,149.99
1.7857142857142856,2.795918367346939,57.980000000000004
1.7857142857142856,2.8877551020408165,149.99
1.7857142857142856,2.979591836734694,20.52
1.7857142857142856,3.0714285714285716,26.42
1.7857142857142856,3.163265306122449,62.71
1.7857142857142856,3.2551020408163267,45.410000000000004
1.7857142857142856,3.3469387755102042,36.63
1.7857142857142856,3.438775510204082,23.150000000000002
1.7857142857142856,3.5306122448979593,34.230000000000004
1.7857142857142856,3.622448979591837,26.72
1.7857142857142856,3.7142857142857144,21.64
1.7857142857142856,3.806122448979592,19.25
1.7857142857142856,3.8979591836734695,16.91
1.7857142857142856,3.989795918367347,19.57
1.7857142857142856,4.081632653061225,24.23
1.7857142857142856,4.173469387755102,21.95
1.7857142857142856,4.26530612244898,19.830000000000002
1.7857142857142856,4.357142857142858,19.79
1.7857142857142856,4.448979591836735,21.8
1.7857142857142856,4.540816326530613,21.650000000000002
1.7857142857142856,4.63265306122449,19.6
1.7857142857142856,4.724489795918368,19.5
1.7857142857142856,4.816326530612245,19.53
1.7857142857142856,4.908163265306123,19.57
1.7857142857142856,5.0,19.62
1.8265306122448979,0.5,149.99
1.8265306122448979,0.5918367346938775,149.99
1.8265306122448979,0.6836734693877551,135.55
1.8265306122448979,0.7755102040816326,30.02
1.8265306122448979,0.8673469387755102,91.9
1.8265306122448979,0.9591836734693877,149.99
1.8265306122448979,1.0510204081632653,149.99
1.8265306122448979,1.1428571428571428,39.550000000000004
1.8265306122448979,1.2346938775510203,54.49
1.8265306122448979,1.3265306122448979,45.76
1.8265306122448979,1.4183673469387754,42.76
1.8265306122448979,1.5102040816326532,46.46
1.8265306122448979,1.6020408163265307,41.21
